1;2;3;4;5;6;7;8;9;10;11;12
80131436;Movie;Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio;;Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk;;2019-09-01;2016;TV-MA;69 min;Stand-Up Comedy;Comedians Mariusz Kałamaga, Karol Kopiec and Wiolka Walaszczyk deliver an eclectic and energetic stand-up show at Klub Hybrydy in Warsaw.
80131376;Movie;Rafał Banaś, Michał Leja Laugh out Loud;;Rafał Banaś, Michał Leja;;2019-09-01;2016;TV-MA;64 min;Stand-Up Comedy;Young Polish comedians Rafał Banaś and Michał Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy.
80131435;Movie;The Best of Rafał Rutkowski Olka Szczęśniak;;Rafał Rutkowski, Olka Szczęśniak;;2019-09-01;2016;TV-MA;63 min;Stand-Up Comedy;"""Recipe for Life"" star Rafał Rutkowski and Comedy Lab's Olka Szczęśniak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy."
80131375;Movie;Tomasz Jachimek, Jacek Stramik Laugh at Live;;Tomasz Jachimek, Jacek Stramik;;2019-09-01;2016;TV-MA;63 min;Stand-Up Comedy;Writer, actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw.
80149143;Movie;Come and Find Me;Zack Whedon;Aaron Paul, Annabelle Wallis, Garret Dillahunt, Chris Chalk, Zachary Knighton, Enver Gjokaj, Michael Kopsa, Terry Chen;Canada, United States, United Kingdom;2018-09-01;2019;R;112 min;Dramas, Thrillers;When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption.
81144925;TV Show;When the Camellia Blooms;;Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim;South Korea;2018-09-01;2019;TV-14;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows;Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.
80987075;Movie;Class Rank;Eric Stoltz;Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang;United States;2018-09-01;2018;TV-14;103 min;Comedies;When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.
80192815;Movie;Barbie Dolphin Magic;Conrad Helten;Erica Lindbeck, Shannon Chan-Kent, Kazumi Evans, Claire Corlett, Ciana Swales, Adrian Petriw, Maryke Hendrikse, Paul Dobson, Garry Chalk;United States;2018-09-01;2017;TV-G;64 min;Children & Family Movies;While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend.
80136785;TV Show;Forget Me Not;;;United Kingdom;2018-09-01;2017;TV-MA;1 Season;International TV Shows, TV Dramas;Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?
80135278;TV Show;The Beat;;Henley Hii, Yise Loo, Aric Ho, Tiffany Leong, Issac Dang, Christy Yow;;2018-09-01;2017;TV-PG;1 Season;International TV Shows, TV Dramas;The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.
80136452;TV Show;Timeless Season;;Loo Aye Keng, Chen Ke Mei, Hady, Hishiko Woo, Jiang Pei Pei, Steve Yap;;2018-09-01;2017;TV-14;1 Season;International TV Shows, TV Dramas;A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues.
80066798;Movie;Keith Richards: Under the Influence;Morgan Neville;Keith Richards;United States;2018-09-01;2015;TV-PG;82 min;Documentaries, Music & Musicals;In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today.
81147293;Movie;A Haunting at Silver Falls: The Return;Teo Konuralp;Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey;United States;2017-09-01;2019;TV-14;80 min;Horror Movies, Independent Movies;When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.
70178604;TV Show;Ancient Aliens;;Robert Clotworthy;United States;2017-09-01;2019;TV-PG;1 Season;Docuseries, Science & Nature TV;Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?
80991316;Movie;Avengement;Jesse V. Johnson;Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles;United Kingdom;2017-09-01;2019;TV-MA;88 min;Action & Adventure;Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer.
80190588;Movie;Clive Davis: The Soundtrack of Our Lives;Chris Perkel;Clive Davis;United States;2017-09-01;2019;TV-14;124 min;Documentaries, Music & Musicals;This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.
70124316;Movie;Five Elements Ninjas;Cheh Chang;Tien-chi Cheng, Tien Hsiang Lung, Meng Lo, Michael Chan Wai-Man, Pei Hsi Chen, Li Wang, Ke Chu;Hong Kong;2017-09-01;2019;R;104 min;Action & Adventure, International Movies;When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.
70229037;Movie;Sebastian Maniscalco: What's Wrong with People?;Manny Rodriguez;Sebastian Maniscalco;United States;2017-09-01;2019;TV-14;76 min;Stand-Up Comedy;With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special.
80219119;TV Show;The Last Kids on Earth;;Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David;United States;2017-09-01;2019;TV-Y7-FV;1 Season;Kids' TV, TV Comedies;When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.
80037280;Movie;The Witch;Robert Eggers;Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger, Lucas Dawson, Bathsheba Garnett, Sarah Stephens, Julian Richings, Wahab Chaudhry;United Kingdom, Canada, United States;2017-09-01;2018;R;92 min;Horror Movies, Independent Movies;Believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid.
80165072;TV Show;Click for Murder;;Donal MacIntyre;United Kingdom;2017-09-01;2017;TV-14;1 Season;British TV Shows, Crime TV Shows, Docuseries;Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.
80058248;Movie;I Am Wrath;Chuck Russell;John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell, Patrick St. Esprit, Rebecca De Mornay, Asante Jones, Paul Sloan, Luis Da Silva Jr., Jordan Whalen;United States;2016-09-01;2019;R;91 min;Action & Adventure, Dramas;Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians.
70307661;Movie;As Above, So Below;John Erick Dowdle;Perdita Weeks, Ben Feldman, Edwin Hodge, François Civil, Marion Lambert, Ali Marhyar, Cosme Castro, Hamid Djavadan, Théo Cholbi, Emy Lévy;United States;2016-09-01;2018;R;93 min;Horror Movies, Thrillers;A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.
70117312;Movie;Scott Pilgrim vs. the World;Edgar Wright;Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Aubrey Plaza, Brandon Routh, Jason Schwartzman, Mark Webber, Mae Whitman, Johnny Simmons, Ellen Wong;United States, United Kingdom, Canada, Japan;2016-09-01;2018;PG-13;112 min;Action & Adventure, Comedies, Cult Movies;Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.
80092885;Movie;ARQ;Tony Elliott;Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal;Canada, United States;2016-09-01;2016;TV-MA;89 min;International Movies, Sci-Fi & Fantasy, Thrillers;Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.
80108371;Movie;Cedric the Entertainer: Live from the Ville;Troy Miller;Cedric the Entertainer;United States;2016-09-01;2016;TV-MA;60 min;Stand-Up Comedy;"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk."""
70129452;Movie;Louis C.K.: Hilarious;Louis C.K.;Louis C.K.;United States;2016-09-01;2016;;84 min;Movies;Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.
80045805;Movie;Raiders!: The Story of the Greatest Fan Film Ever Made;Jeremy Coon, Tim Skousen;;United States;2016-09-01;2016;NR;93 min;Documentaries;"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot."
80101827;Movie;The White Helmets;Orlando von Einsiedel;;United Kingdom;2016-09-01;2016;TV-14;41 min;Documentaries;As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.
70251519;TV Show;America's Book of Secrets;;Jonathan Adams;United States;2015-09-01;2019;TV-14;1 Season;Docuseries;This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.
81174992;TV Show;Bakugan: Battle Planet;;Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes;Japan, Canada, South Korea;2015-09-01;2019;TV-PG;1 Season;Anime Series, Kids' TV;Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
81044365;TV Show;Cold Case Files;;;United States;2015-09-01;2019;TV-14;1 Season;Crime TV Shows, Docuseries;Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
81030342;Movie;Los Tigres del Norte at Folsom Prison;Tom Donahue;Los Tigres del Norte;United States;2015-09-01;2019;TV-PG;64 min;Documentaries, International Movies, Music & Musicals;The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.
70143865;TV Show;Pawn Stars;;"Corey Harrison, Richard Harrison, Rick Harrison, Austin ""Chumlee"" Russell";United States;2015-09-01;2019;TV-PG;1 Season;Reality TV;Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.
70054723;Movie;Steal a Pencil for Me;Michèle Ohayon;Jack Polak, Ina Soep;United States;2015-09-01;2019;TV-14;94 min;Documentaries;This moving documentary chronicles the unshakeable romance between a couple who met and fell in love while imprisoned in a Nazi concentration camp.
81069393;TV Show;Surviving R. Kelly;;R. Kelly;United States;2015-09-01;2019;TV-MA;1 Season;Docuseries;In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.
80012550;TV Show;The Curse of Oak Island;;Robert Clotworthy;United States;2015-09-01;2019;TV-PG;1 Season;Docuseries;On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.
81131761;Movie;The Outsider;Timothy Woodward Jr.;Jon Foo, Trace Adkins, Sean Patrick Flanery, Kaiwi Lyman, Nelli Tsay, Danny Trejo, Mitchell L. Johnson, Philip V. Bruenn;United States;2015-09-01;2019;TV-MA;86 min;Movies;A frontier sheriff tries to protect his sadistic son from a Chinese railroad worker hellbent on revenge.
81176196;TV Show;The Rap Game;;Jermaine Dupri;United States;2015-09-01;2019;TV-14;1 Season;Reality TV;Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.
70143831;TV Show;The Universe;;Erik Thompson;United States;2015-09-01;2019;TV-PG;1 Season;Docuseries, Science & Nature TV;Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.
81003648;TV Show;Al Hayba;;Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef;Lebanon;2015-09-01;2018;TV-14;1 Season;Crime TV Shows, International TV Shows, TV Dramas;In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.
81016326;Movie;Arisan 2;Nia Dinata;Surya Saputra, Cut Mini Theo, Tora Sudiro;Indonesia;2015-09-01;2018;TV-14;113 min;Comedies, Dramas, International Movies;A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths.
80241102;TV Show;Cabins in the Wild with Dick Strawbridge;;Dick Strawbridge, William Hardie;United Kingdom;2015-09-01;2018;TV-PG;1 Season;British TV Shows, International TV Shows, Reality TV;Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own.
80227777;Movie;Cardboard Gangsters;Mark O'Connor;John Connors, Fionn Walton, Kierston Wareing, Paul Alwright, Ryan Lincoln, Jimmy Smallhorne, Toni O'Rourke, Fionna Hewitt-Twamley, Stephen Clinch, Ciaran McCabe;Ireland;2015-09-01;2018;TV-MA;92 min;Dramas, International Movies;A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path.
81018233;Movie;Eeda;Ajithkumar;Shane Nigaam, Nimisha Sajayan, Manikandan R. Achari, Alencier Ley Lopez, Sujith Sankar, P. Balachandran, Sudhi Koppa;India;2015-09-01;2018;TV-14;153 min;Dramas, International Movies, Romantic Movies;Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.
81016317;Movie;Galih dan Ratna;Lucky Kuswandi;Refal Hady, Sheryl Sheinafia, Ayu Dyah Pasha, Joko Anwar, Hengky Tarnando, Marissa Anita, Sari Koeswoyo;Indonesia;2015-09-01;2018;TV-PG;111 min;Dramas, International Movies, Romantic Movies;Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.
81016337;Movie;Gie;Riri Riza;Nicholas Saputra, Sita Nursanti, Lukman Sardi, Indra Birowo, Wulan Guritno, Thomas Nawilis, Tutie Kirana, Robby Tumewu, Jonathan Mulia;Indonesia;2015-09-01;2018;TV-14;141 min;Dramas, International Movies;Indonesian activist Soe Hok Gie experiences a political awakening during the tumultuous regimes of Suharto and Sukarno. Inspired by true events.
80241103;TV Show;How to Live Mortgage Free with Sarah Beeny;;;;2015-09-01;2018;TV-14;1 Season;British TV Shows, International TV Shows, Reality TV;Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.
80240816;TV Show;Inside The Freemasons;;;United Kingdom;2015-09-01;2018;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.
81018241;Movie;Jugaad;Susannah Heath-Eves;;;2015-09-01;2018;TV-14;52 min;Documentaries;Following the stories of five diverse individuals, this documentary offers a glimpse into the indomitable tenacity of several Mumbai residents.
81018237;Movie;Red Oleanders Raktokarobi;Amitava Bhattacharya;Shantilal Mukherjee, Mumtaz Sorcar, Rahul, Koushik Sen, Rajesh Sharma, Debdut Ghosh, Anindya Banerjee, Amitabha Bhattacharjee, Usashi Chakraborty, Dipankar Dey;India;2015-09-01;2018;TV-14;112 min;Dramas, International Movies;When a theater group stages a production of a Rabindranath Tagore play, they begin to notice parallels between the story and their own lives.
81018238;Movie;Samantaral;Partha Chakraborty;Riddhi Sen, Parambrata Chatterjee, Soumitra Chatterjee, Aparajita Adhya, Tanusree Chakraborty, Kushal Chakraborty, Anindya Banerjee, Surangana Banerjee;India;2015-09-01;2018;TV-MA;110 min;Dramas, International Movies;On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years.
81016339;Movie;The Secret;Raffi Ahmad, Arie Azis;Nagita Slavina, Raffi Ahmad, Marshanda, Roy Marten, Kanaya Gleadys, Kartika Putri, Tyas Mirasih, Wika Salim;;2015-09-01;2018;TV-MA;98 min;Horror Movies, International Movies;Learning that her father has married a woman her own age, Kanaya leaves home, only to get into an accident that lands her in a haunted hospital.
80067522;Movie;First They Killed My Father;Angelina Jolie;Sreymoch Sareum, Kompheak Phoeung, Socheata Sveng, Dara Heng, Sothea Khoun, Sreyneang Oun, Kimhak Mun, Chenda Run, Nika Sarun, Nita Sarun;Cambodia, United States;2015-09-01;2017;TV-MA;137 min;Dramas;A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.
80192149;Movie;Gagarin: First in Space;Pavel Parkhomenko;Yaroslav Zhalnin, Mikhail Filippov, Olga Ivanova, Vadim Michman, Vladimir Steklov, Viktor Proskurin, Nadezhda Markina, Daniil Vorobyov;Russia;2015-09-01;2017;TV-14;108 min;Dramas, International Movies;This biopic of Russian cosmonaut Yuri Gagarin follows his rise from childhood poverty to his selection and training for the 1961 Vostok mission.
80142637;Movie;Janaan;Azfar Jafri;Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz;Pakistan;2015-09-01;2017;TV-14;132 min;Comedies, Dramas, International Movies;After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin.
80192014;Movie;Larceny;R. Ellis Frazier;Dolph Lundgren, Corbin Bernsen, Louis Mandylor, Isaac C. Singleton Jr., Jocelyn Osorio, Eddie J. Fernandez, David Fernandez Jr., Mauricio Mendoza, Steven Dell, Luis Gatica;United States, Mexico;2015-09-01;2017;TV-14;87 min;Action & Adventure;An ex-CIA contractor turned thief is forced to head a CIA gambit to infiltrate a black ops Mexican prison and steal $50 million in drug cartel money.
80192015;Movie;Rumble;R. Ellis Frazier;Gary Daniels, Luis Gatica, Sissi Fleitas, Eddie J. Fernandez, Fabián López, Justin Nesbitt, Pedro Rodman Rodriguez;Mexico;2015-09-01;2017;TV-MA;92 min;Action & Adventure, Independent Movies;An ex-MMA champion reduced to fixing fights in Mexico must win one last match to save his girlfriend, who's been kidnapped by the mob.
80168230;Movie;Strong Island;Yance Ford;;United States, Denmark;2015-09-01;2017;TV-MA;108 min;Documentaries;The forces of family, grief and racial injustice converge in this powerful documentary exploring the murder of filmmaker Yance Ford's brother.
80202129;TV Show;The Five;Mark Tonderai;Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta;United Kingdom;2015-09-01;2017;TV-MA;1 Season;British TV Shows, Crime TV Shows, TV Dramas;Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.
80088910;Movie;Natural Born Pranksters;Roman Atwood, Ben Pluimer;Roman Atwood, Vitaly Zdorovetskiy, Dennis Roady;United States;2015-09-01;2016;R;91 min;Comedies;"The biggest pranksters on YouTube – VitalyzdTV, Dennis Roady and Roman Atwood – turn Hollywood into ""Prankwood"" with their most over-the-top stunts."
70290909;Movie;Sample This;Dan Forrer;Gene Simmons;United States;2015-09-01;2016;TV-14;83 min;Documentaries, Music & Musicals;"This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it."
80126566;TV Show;Wartime Portraits;;;Poland;2015-09-01;2016;TV-MA;1 Season;Docuseries, International TV Shows;Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.
80033772;Movie;Cowspiracy: The Sustainability Secret;Kip Andersen, Keegan Kuhn;Kip Andersen;United States;2015-09-01;2015;NR;90 min;Documentaries;Learn how factory farming is decimating the planet's natural resources – and why this crisis has been largely ignored by major environmental groups.
81093951;Movie;Oh! Baby;B. V. Nandini Reddy;Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi;India;2014-09-01;2019;TV-14;157 min;Comedies, International Movies, Music & Musicals;A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
80238013;Movie;The Crystal Calls Making the Dark Crystal: Age of Resistance;Randall Lobb;Taron Egerton, Natalie Dormer, Simon Pegg, Jason Isaacs;United States;2014-09-01;2019;TV-PG;83 min;Documentaries, International Movies;Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series.
81089941;Movie;We Have Always Lived in the Castle;Stacie Passon;Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford;United States;2014-09-01;2019;TV-14;95 min;Dramas, Thrillers;The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.
81000011;Movie;Bangkok Hell;Manop Janjarasskul;Chalad Na Songkhla, Sahatchai 'Stop' Chumrum, Pornchai Hongrattanaporn, Kongsak Kaenmeepol, Samart Saengsa-Ngiam, Suthpong Kanithanon;Thailand;2014-09-01;2018;TV-MA;107 min;Dramas, International Movies;When offered a deal to snitch on fellow prisoners, an inmate faces a tough dilemma: act in his own interest, or help those who may need him.
80243899;TV Show;Behind the Newsroom;;Pok Piyatida Woramusik, Willie Ruengrit McIntosh, Charebelle Lanlalin, Tono Pakin Kumwilaisuk, Point Cholawit Meetongcom, Cee Hathaiphat, Pitta Na Pattalung, Ae Sasikarn Aphichartworasilp, Louis Pongphan Petchbuntoon, Sawitree Samipak;;2014-09-01;2018;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Dramas;Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.
80217733;Movie;Bleach;Shinsuke Sato;Sota Fukushi, Hana Sugisaki, Ryo Yoshizawa, Erina Mano, Yu Koyanagi, Seiichi Tanabe, Taichi Saotome, Miyavi, Masami Nagasawa, Yosuke Eguchi;Japan;2014-09-01;2018;TV-14;109 min;Action & Adventure, International Movies, Sci-Fi & Fantasy;When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first.
80220035;TV Show;Boca Juniors Confidential;;;;2014-09-01;2018;TV-PG;1 Season;Docuseries, International TV Shows, Spanish-Language TV Shows;Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club.
80194704;TV Show;Car Masters: Rust to Riches;;"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle";;2014-09-01;2018;TV-PG;1 Season;Reality TV;The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.
80225949;TV Show;Norm Macdonald Has a Show;;;United States;2014-09-01;2018;TV-MA;1 Season;Stand-Up Comedy & Talk Shows, TV Comedies;Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
80999985;Movie;Still;Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon;Mai Charoenpura, Akara Amarttayakul, Supakson Chaimongkol, Kachapa Toncharoen, Wiradit Srimalai, Vasana Chalakorn, Ratchanont Sukpragawp, Arisara Thongborisut;Thailand;2014-09-01;2018;TV-MA;100 min;Horror Movies, International Movies;A haunted hotel, a body in a water tank, a nightclub fire and a prison death comprise four horror tales taken from Thailand's newspaper headlines.
81002336;TV Show;Super Monsters Monster Party;;Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina;;2014-09-01;2018;TV-Y;1 Season;Kids' TV;Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!
80188120;Movie;The Angel;Ariel Vromen;Marwan Kenzari, Hannah Ware, Toby Kebbell, Waleed Zuaiter, Maisa Abd Elhadi, Sasson Gabai, Mickey Leon, Ori Pfeffer, Slimane Dazi;Israel, United States;2014-09-01;2018;TV-MA;114 min;Dramas, International Movies, Thrillers;As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.
80164779;Movie;The Land of Steady Habits;Nicole Holofcener;Ben Mendelsohn, Edie Falco, Connie Britton, Thomas Mann, Bill Camp, Elizabeth Marvel, Charlie Tahan, Michael Gaston, Josh Pais;United States;2014-09-01;2018;TV-MA;98 min;Comedies, Dramas, Independent Movies;After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.
80993613;TV Show;The Rise of Phoenixes;;Chen Kun, Ni Ni, Zhao Lixin, Ni Dahong, Yuan Hong, Wang Ou, Bai Jinting, Zhang Xiaochen, Mei Ting, Liu Mintao, Yu Mingjia, Hou Yansong, Hai Yitian, Shi An, Shao Tong;China;2014-09-01;2018;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Action & Adventure;When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.
81092328;Movie;American Warfighter;Jerry G. Angelo;Jerry G. Angelo, Paul Logan, Joshua Santana, Carolina Castro, David Robbins, Michael King, Tom Crisp, Jennifer Marshall, Victoria Clare, Ryan Baumann, Isaac C. Singleton Jr., Said Faraj;United States;2013-09-01;2019;TV-MA;106 min;Dramas;A Navy SEAL haunted by wartime memories tries to rebuild his life at home, even as one last mission threatens to unravel everything.
81183572;Movie;Deviant Love;Michael Feifer;Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady, Corbin Timbrook, Kate Lang Johnson, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon;United States;2013-09-01;2019;TV-14;87 min;Thrillers;In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives.
81037283;Movie;Head Count;Elle Callahan;Isaac Jay, Ashleigh Morghan, Bevin Bru, Billy Meade, Hunter Peterson, Chelcie May, Tory Freeth, Michael Herman, Amaka Obiechie, Sam Marra, Cooper Rowe;United States;2013-09-01;2019;TV-MA;90 min;Horror Movies, Independent Movies;A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.
80244973;Movie;Hello, Privilege. It's Me, Chelsea;Alex Stapleton;Chelsea Handler;United States;2013-09-01;2019;TV-MA;65 min;Documentaries;In this documentary, Chelsea Handler explores how white privilege impacts American culture – and the ways it’s benefited her own life and career.
81095103;TV Show;Kabaneri of the Iron Fortress: The Battle of Unato;;Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki;;2013-09-01;2019;TV-MA;1 Season;Anime Series, International TV Shows, TV Horror;Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde.
81132438;Movie;Locked on You;Kıvanç Baruönü;Ata Demirer, Demet Akbağ, Gonca Vuslateri, İlker Aksum, Tarık Ünlüoğlu, Erkan Can, Hande Dane, Ayten Uncuoğlu, Hakan Salınmış, İştar Gökseven;Turkey;2013-09-01;2019;TV-14;105 min;Comedies, International Movies;When his chatty nature lands him in trouble, an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island.
