1;2;3;4;5;6;7;8;9;10;11;12
80057700;Movie;The Runner;Austin Stark;Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier;United States;2008-09-01;2017;R;90 min;Dramas, Independent Movies;A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922;Movie;6 Years;Hannah Fidell;Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael;United States;2008-09-01;2015;NR;80 min;Dramas, Independent Movies, Romantic Movies;As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.
80244601;TV Show;Castle of Stars;;Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong;;2007-09-01;2018;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.
80203094;Movie;City of Joy;Madeleine Gavin;;United States,;2007-09-01;2018;TV-MA;77 min;Documentaries;Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.
80190843;TV Show;First and Last;;;;2007-09-01;2018;TV-MA;1 Season;Docuseries;Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
70241607;Movie;Laddaland;Sopon Sukdapisit;Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit;Thailand;2007-09-01;2018;TV-MA;112 min;Horror Movies, International Movies;When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.
80988892;Movie;Next Gen;Kevin R. Adams, Joe Ksander;John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu;China, Canada, United States;2007-09-01;2018;TV-PG;106 min;Children & Family Movies, Comedies, Sci-Fi & Fantasy;When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.
80239639;Movie;Sierra Burgess Is A Loser;Ian Samuels;Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz;United States;2007-09-01;2018;PG-13;106 min;Comedies, Romantic Movies;A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
80159586;Movie;The Most Assassinated Woman in the World;Franck Ribière;Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé;Belgium, United Kingdom, United States;2007-09-01;2018;TV-MA;102 min;Dramas, International Movies, Thrillers;In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.
80152447;Movie;Czanne et moi;Daniele Thompson;Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker;Belgium, France;2007-09-01;2017;R;114 min;Dramas, Independent Movies, International Movies;This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.
80221550;TV Show;Archibald's Next Big Thing;;Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren;;2006-09-01;2019;TV-Y7;1 Season;Kids' TV, TV Comedies;Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!
81154455;Movie;Article 15;Anubhav Sinha;Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade;India;2006-09-01;2019;TV-MA;125 min;Dramas, International Movies, Thrillers;The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
81113928;Movie;Care of Kancharapalem;Maha Venkatesh;Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri;;2006-09-01;2019;TV-14;142 min;Comedies, Dramas, Independent Movies;From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.
81052275;Movie;Ee Nagaraniki Emaindi;Tharun Bhascker;Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary;India;2006-09-01;2019;TV-14;133 min;Comedies, International Movies;In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.
81132437;Movie;Kill Me If You Dare;Şenol Sönmez;Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu;;2006-09-01;2019;TV-14;100 min;Comedies, International Movies, Romantic Movies;Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.
80178151;TV Show;The Spy;;Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes;France;2006-09-01;2019;TV-MA;1 Season;International TV Shows, TV Dramas, TV Thrillers;In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.
80058026;Movie;Hell and Back;Tom Gianas, Ross R. Shuman;Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford;United States;2006-09-01;2018;R;86 min;Action & Adventure, Comedies, Independent Movies;When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.
70303496;Movie;PK;Rajkumar Hirani;Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar;India;2006-09-01;2018;TV-14;146 min;Comedies, Dramas, International Movies;Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
80162141;Movie;Hard Tide;Robert Osman, Nathanael Wiseman;Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills;United Kingdom;2006-09-01;2017;TV-MA;79 min;Dramas, Independent Movies;A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
80095641;Movie;Elstree 1976;Jon Spira;Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose;United Kingdom;2006-09-01;2016;TV-PG;102 min;Documentaries;"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
81176188;Movie;American Factory: A Conversation with the Obamas;;President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar;;2005-09-01;2019;TV-G;10 min;Documentaries;Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
80159880;Movie;ATM;Mez Tharatorn;Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak;United States, Canada;2005-09-01;2018;TV-14;122 min;Comedies, International Movies, Romantic Movies;When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.
81016044;Movie;Bangkok Traffic (Love) Story;Adisorn Tresirikasem;Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano;Thailand;2005-09-01;2018;TV-14;126 min;Comedies, International Movies, Romantic Movies;After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.
80158838;Movie;I Fine... Thank You... Love You;Mez Tharatorn;Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij;Thailand;2005-09-01;2018;TV-14;116 min;Comedies, International Movies, Romantic Movies;Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.
81016045;Movie;One Day;Banjong Pisanthanakun;Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura;Thailand;2005-09-01;2018;TV-PG;135 min;Dramas, International Movies, Romantic Movies;When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.
70142798;Movie;Phobia 2;Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks;Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong;Thailand;2005-09-01;2018;TV-MA;125 min;Horror Movies, International Movies;From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.
70062814;Movie;Shutter;Banjong Pisanthanakun, Parkpoom Wongpoom;Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr;Thailand;2005-09-01;2018;TV-MA;96 min;Horror Movies, International Movies;After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.
80158839;Movie;Suckseed;Chayanop Boonprakob;Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert;Thailand;2005-09-01;2018;TV-MA;130 min;Comedies, International Movies;When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.
80147760;Movie;Carrie Pilby;Susan Johnson;Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges;United States;2005-09-01;2017;TV-14;98 min;Comedies, Dramas;A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.
80177405;Movie;Marc Maron: Too Real;Lynn Shelton;Marc Maron;United States;2005-09-01;2017;TV-MA;70 min;Stand-Up Comedy;Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.
80113482;TV Show;No Tomorrow;;Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz;United States;2005-09-01;2017;TV-14;1 Season;Romantic TV Shows, TV Comedies, TV Dramas;Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.
81160036;Movie;Saawan;Farhan Alam;Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz;Pakistan;2004-09-01;2019;TV-14;128 min;Dramas, Independent Movies, International Movies;Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.
81173255;Movie;The Heretics;Chad Archibald;Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond;Canada;2004-09-01;2019;TV-MA;88 min;Horror Movies;A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
81078908;Movie;The World We Make;Brian Baugh;Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams;United States;2004-09-01;2019;PG;108 min;Dramas, Romantic Movies;A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.
81155784;Movie;Watchman;A. L. Vijay;G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth;India;2004-09-01;2019;TV-14;93 min;Comedies, Dramas, International Movies;Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.
80201906;Movie;Black Panther;Ryan Coogler;Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee;United States;2004-09-01;2018;PG-13;135 min;Action & Adventure, Sci-Fi & Fantasy;T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.
80052612;Movie;Man Up;Ben Palmer;Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge;United Kingdom, France;2004-09-01;2018;R;88 min;Comedies, International Movies, Romantic Movies;A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.
80113641;TV Show;Frequency;;Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar;United States;2004-09-01;2017;TV-14;1 Season;Crime TV Shows, TV Dramas, TV Mysteries;A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.
80184358;TV Show;Lovesick;;Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin;;2003-09-01;2018;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Dramas;Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
80198585;Movie;The Debt Collector;Jesse V. Johnson;Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd;United Kingdom, United States;2003-09-01;2018;TV-MA;96 min;Action & Adventure;A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.
80993149;Movie;Maynard;Samuel D. Pollard;;United States;2002-09-01;2018;TV-PG;100 min;Documentaries;Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city.
80224294;TV Show;Monkey Twins;;Phakin Khamwilaisak, Sumret Muengput, Alisa Kunkwaeng, Zozeen Panyanut Jirarottanakasem, Akarat Nimitchai, Warawut Poyim, Vithaya Pansringarm, Phutharit Prombandal, Kazu Patrick Tang;Thailand;2002-09-01;2018;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Action & Adventure;Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.
80203776;Movie;Bitcoin Heist;Ham Tran;Kate Nhung, Thanh Pham, Petey Majik Nguyen, Suboi, Jayvee Mai The Hiep, Lam Thanh My;Vietnam;2002-09-01;2017;TV-14;116 min;Action & Adventure, Comedies, International Movies;"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost."""
80143797;Movie;I Am Not Madame Bovary;Feng Xiaogang;Fan Bingbing, Guo Tao, Da Peng, Zhang Jiayi, Yu Hewei, Yi Zhao, Zonghan Li, Zhao Lixin, Tian Xiaojie, Yin Yuanzhang, Enhe Feng, Xin Liu, Jiang Yongbo;China;2002-09-01;2017;TV-14;139 min;Comedies, Dramas, International Movies;To qualify for an apartment reserved for singles, a married couple stages a divorce. But when her husband unexpectedly remarries, Li seeks justice.
80161931;Movie;Vincent N Roxxy;Gary Michael Schultz;Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Beau Knapp, Jason Mitchell, Scott Mescudi, Jeff Gum, Joey Bicicchi;United States;2002-09-01;2017;R;101 min;Dramas, Thrillers;In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.
80128096;TV Show;Chef's Table: France;;;;2002-09-01;2016;TV-14;1 Season;Docuseries;Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
80057610;TV Show;Kulipari: An Army of Frogs;;Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo;United States;2002-09-01;2016;TV-Y7-FV;1 Season;Kids' TV;In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.
80017275;Movie;Miss Julie;Liv Ullmann;Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy;Norway, United Kingdom, France, Ireland;2002-09-01;2015;PG-13;130 min;Dramas, International Movies;On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.
81107545;Movie;Kabir Singh;Sandeep Reddy Vanga;Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora;India;2019-09-01;2019;TV-MA;171 min;Dramas, International Movies, Romantic Movies;An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.
70118953;Movie;Océans;Jacques Perrin, Jacques Cluzaud;Pierce Brosnan, Jacques Perrin, Rie Miyazawa, Lancelot Perrin;France, Switzerland, Spain, United States, United Arab Emirates;2019-09-01;2019;G;84 min;Documentaries, International Movies;This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.
80190449;Movie;The Endless;Justin Benson, Aaron Moorhead;Aaron Moorhead, Justin Benson, Callie Hernandez, Lew Temple, James Jordan, Tate Ellington;United States;2019-09-01;2018;TV-MA;112 min;Independent Movies, Sci-Fi & Fantasy, Thrillers;As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.
70259208;TV Show;Transformers: Rescue Bots;;Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White;Canada, United States;2019-09-01;2018;TV-Y7;1 Season;Kids' TV;Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.
80163156;Movie;Jerry Before Seinfeld;Michael Bonfiglio;Jerry Seinfeld;United States;2019-09-01;2017;TV-14;62 min;Stand-Up Comedy;Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.
80176878;TV Show;Manhunt;;Sam Worthington, Paul Bettany, Chris Noth, Jeremy Bobb, Ben Weber, Lynn Collins, Brían F. O'Byrne, Keisha Castle-Hughes, Mark Duplass, Elizabeth Reaser, Diesel Madkins;United States;2019-09-01;2017;TV-14;1 Season;Crime TV Shows, TV Dramas, TV Mysteries;Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber.
80131281;Movie;Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense;;"Karol Modzelewski, Łukasz ""Lotek” Lodkowski";;2019-09-01;2016;TV-MA;65 min;Stand-Up Comedy;"Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy."
80131374;Movie;Katarzyna Piasecka, Rafał Pacześ Seriously Funny;;Katarzyna Piasecka, Rafał Pacześ;;2019-09-01;2016;TV-MA;65 min;Stand-Up Comedy;Polish comedians Rafał Pacześ and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes.
